Crime_ID	Crime_Type	Crime_Severity	Datetime	Address	Neighborhood	City	State	Postal_Code	Latitude	Longitude	Police_Beat	Victim_Age	Victim_Gender	Ethnicity	Offender_Age	Offender_Gender	Ethnicity	Relationship	Weapon_Used	Location_Type	Reported_To_Police	Case_Status	Arrest_Made	Domestic_Case	Gang_Related
1	Theft	low	01.01.2024 8:52	123 Maple St	Downtown	Metropolis	NY	10001	40.7128	-74.0060	1	25	Female	White	27	Male	White	Stranger	Knife	Street	Yes	Open	No	No	Yes
2	Burglary	medium	29.04.2024 4:49	456 Oak Ave	West Side	Metropolis	NY	10002	40.7150	-74.0150	2				27	Male	White	Stranger	None	Home	Yes	Closed	Yes	Yes	No
3	Robbery	high	01.01.2024 5:51	789 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3	34	Male	Black	31	Male	Black	Acquaintance	Gun	Business	Yes	Arrested	Yes	No	Yes
4	Assault	low	17.11.2024 8:10	321 Cedar Blvd	Uptown	Metropolis	NY	10004	40.7255	-74.0120	4	19	Female	Hispanic	22	Male	Hispanic	Domestic Partner	None	Park	No	Open	No	No	No
5	Aggravated Assault	high	21.01.2024 10:04	654 Birch Ln	Southside	Metropolis	NY	10005	40.7300	-74.0085	5				24	Female	White	Stranger	Blunt Object	Street	Yes	Closed	Yes	No	Yes
6	Homicide	medium	15.05.2024 19:37	987 Spruce St	Midtown	Metropolis	NY	10006	40.7350	-74.0020	6				22	Female	White	Acquaintance	None	Home	Yes	Open	No	Yes	No
7	Manslaughter	low	27.01.2024 0:41	246 Elm Ave	Riverside	Metropolis	NY	10007	40.7405	-74.0105	7	42	Male	Asian	40	Male	Asian	Stranger	Knife	Business	Yes	Arrested	Yes	No	No
8	Kidnapping	medium	01.05.2024 18:08	135 Willow Rd	Old Town	Metropolis	NY	10008	40.7450	-74.0050	8				22	Male	Black	Stranger	Gun	Street	No	Open	No	No	Yes
9	Arson	low	26.04.2024 4:37	579 Chestnut Blvd	Harborview	Metropolis	NY	10009	40.7500	-74.0075	9				24	Male	Hispanic	Acquaintance	None	Park	Yes	Closed	Yes	No	No
10	Vandalism	medium	24.02.2024 6:46	864 Aspen Ln	Greenfield	Metropolis	NY	10010	40.7550	-74.0030	10				22	Female	White	Stranger	Blunt Object	Home	Yes	Arrested	Yes	Yes	No
11	Fraud	high	19.03.2024 8:55	103 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3	28	Female	White	35	Male	White	Stranger	Knife	Street	Yes	Open	Yes	Yes	Yes
12	Embezzlement	low	01.01.2024 8:52	101 Maple St	Downtown	Metropolis	NY	10001	40.7128	-74.0060	1	31	Male	Black	29	Male	Hispanic	Acquaintance	None	Home	Yes	Closed	Yes	No	No
13	Drug Possession	high	29.04.2024 4:49	102 Oak Ave	West Side	Metropolis	NY	10002	40.7150	-74.0150	2	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	Gun	Business	Yes	Arrested	No	No	Yes
14	Drug Trafficking	medium	01.01.2024 5:51	103 Pine Rd	East End	Metropolis	NY	10003	40.7200	-74.0005	3				29	Male	Asian	Stranger	None	Park	No	Open	Yes	No	No
15	Domestic Violence	low	17.11.2024 8:10	104 Cedar Blvd	Uptown	Metropolis	NY	10004	40.7255	-74.0120	4				23	Male	Black	Acquaintance	Blunt Object	Street	Yes	Closed	No	Yes	No
16	Sexual Assault	medium	21.01.2024 10:04	105 Birch Ln	Southside	Metropolis	NY	10005	40.7300	-74.0085	5				33	Female	Hispanic	Stranger	None	Home	Yes	Open	Yes	No	Yes
17	Rape	low	15.05.2024 19:37	106 Spruce St	Midtown	Metropolis	NY	10006	40.7350	-74.0020	6	45	Male	White	50	Male	White	Stranger	Knife	Business	Yes	Arrested	No	No	No
18	Human Trafficking	medium	27.01.2024 0:41	107 Elm Ave	Riverside	Metropolis	NY	10007	40.7405	-74.0105	7	37	Female	Black	36	Male	Black	Acquaintance	Gun	Street	No	Open	Yes	No	No
19	Stalking	high	01.05.2024 18:08	108 Willow Rd	Old Town	Metropolis	NY	10008	40.7450	-74.0050	8	29	Male	Hispanic	32	Male	Hispanic	Stranger	None	Park	Yes	Closed	Yes	Yes	Yes
20	Cybercrime	low	01.01.2024 8:52	109 Chestnut Blvd	Harborview	Metropolis	NY	10009	40.7500	-74.0075	9				32	Male	Hispanic	Stranger	Blunt Object	Home	Yes	Arrested	Yes	Yes	No
21	Identity Theft	high	29.04.2024 4:49	110 Aspen Ln	Greenfield	Metropolis	NY	10010	40.7550	-74.0030	10	25	Female	White	27	Male	White	Stranger	Knife	Street	Yes	Open	Yes	No	Yes
22	Bribery	medium	01.01.2024 5:51	111 Maple St	Downtown	Metropolis	NY	10011	40.7129	-74.0061	1	34	Male	Black	31	Male	Black	Acquaintance	None	Home	Yes	Closed	No	No	No
23	Extortion	low	17.11.2024 8:10	112 Oak Ave	West Side	Metropolis	NY	10012	40.7151	-74.0151	2	19	Female	Hispanic	22	Male	Hispanic	Stranger	Gun	Business	Yes	Arrested	Yes	No	No
24	Public Intoxication	medium	21.01.2024 10:04	113 Pine Rd	East End	Metropolis	NY	10013	40.7201	-74.0006	3				25	Male	Asian	Domestic Partner	None	Park	No	Open	No	Yes	Yes
25	Disorderly Conduct	low	15.05.2024 19:37	114 Cedar Blvd	Uptown	Metropolis	NY	10014	40.7256	-74.0121	4	28	Female	White	35	Male	Black	Stranger	Knife	Street	Yes	Closed	Yes	No	No
26	Trespassing	medium	27.01.2024 0:41	115 Birch Ln	Southside	Metropolis	NY	10015	40.7301	-74.0086	5	31	Male	Black	29	Male	Hispanic	Acquaintance	Gun	Home	Yes	Open	No	No	No
27	Weapons Violation	high	01.05.2024 18:08	116 Spruce St	Midtown	Metropolis	NY	10016	40.7351	-74.0021	6	22	Female	Hispanic	23	Female	Hispanic	Domestic Partner	None	Business	Yes	Arrested	Yes	No	Yes
28	Hate Crime	low	26.04.2024 4:37	117 Elm Ave	Riverside	Metropolis	NY	10017	40.7406	-74.0106	7	45	Male	White	50	Male	White	Stranger	Blunt Object	Street	No	Open	Yes	Yes	No
29	Gang-Related Crime	high	24.02.2024 6:46	118 Willow Rd	Old Town	Metropolis	NY	10018	40.7451	-74.0051	8	37	Female	Black	36	Male	Black	Acquaintance	Knife	Park	Yes	Closed	Yes	Yes	Yes
30	Traffic Violations	medium	03.01.2024 14:23	119 Chestnut Blvd	Harborview	Metropolis	NY	10019	40.7501	-74.0076	9	29	Male	Hispanic	32	Male	Hispanic	Stranger	None	Home	Yes	Arrested	Yes	No	No
31	DUI / DWI	low	17.02.2024 9:12	120 Aspen Ln	Greenfield	Metropolis	NY	10020	40.7551	-74.0031	10				24	Male	Black	Stranger	Gun	Street	Yes	Open	No	No	No
