StoreID,StoreName,StoreType,StoreFormat,Location,RegionID,StoreSize_SqFt,OpeningDate,ManagerID,Status,LastRenovation,NumberOfCheckouts,WeeklyFootfall,AverageBasketValue
9001,Walmart Supercenter #4521,Supermarket,Hypermarket,Los Angeles,3001,150000,2005-06-15,9501,Active,2019-03-20,30,50000,85.50
9002,Target Store #1234,Hypermarket,Super Target,Houston,3002,120000,2008-09-22,9502,Active,2020-11-10,25,42000,72.30
9003,Kroger Marketplace #5678,Grocery,Supermarket,New York,3003,100000,2010-04-18,9503,Active,2018-07-15,22,38000,65.80
9004,CVS Pharmacy #0567,Drugstore,Pharmacy,Miami,3004,80000,2012-11-30,9504,Active,2021-02-28,8,15000,25.40
9005,7-Eleven #0890,Convenience,Convenience Store,Chicago,3005,30000,2015-03-12,9505,Active,2022-05-20,4,12000,12.80
9006,Walmart Supercenter #4522,Supermarket,Hypermarket,Atlanta,3016,145000,2006-08-10,9506,Active,2018-09-15,28,48000,82.40
9007,Target Store #1235,Hypermarket,Super Target,Dallas,3014,118000,2009-05-25,9507,Active,2021-04-12,24,41000,70.50
9008,Kroger Marketplace #5679,Grocery,Supermarket,San Francisco,3012,95000,2011-07-18,9508,Active,2019-10-30,20,35000,63.20
9009,CVS Pharmacy #0568,Drugstore,Pharmacy,Boston,3018,78000,2013-12-05,9509,Active,2020-08-22,7,14000,24.80
9010,7-Eleven #0891,Convenience,Convenience Store,Seattle,3021,28000,2016-02-14,9510,Active,2021-11-10,3,11000,11.50
9011,Costco Wholesale #789,Wholesale,Warehouse Club,Los Angeles,3001,180000,2000-03-25,9511,Active,2017-06-18,20,35000,125.00
9012,Sam's Club #456,Wholesale,Warehouse Club,Houston,3002,160000,2002-11-08,9512,Active,2019-01-15,18,32000,115.00
9013,Whole Foods Market #123,Grocery,Organic Supermarket,New York,3003,85000,2005-09-12,9513,Active,2020-05-30,16,28000,95.40
9014,Walgreens #2345,Drugstore,Pharmacy & Convenience,Miami,3004,75000,2007-04-20,9514,Active,2019-08-12,9,18000,32.60
9015,Circle K #678,Convenience,Gas & Convenience,Chicago,3005,32000,2010-10-05,9515,Active,2022-03-15,5,13000,15.20
