WarehouseID|WarehouseName|Location|RegionID|Capacity|CapacityUnit|WarehouseType|OperationalSince|Status|ManagerID|StorageCost|HandlingCost|TechnologyLevel
5001|LA Distribution Center|Los Angeles|3001|5000000|Units|Primary DC|2000-06-15|Active|5101|0,85|0,45|Advanced
5002|Houston Logistics Hub|Houston|3002|4000000|Units|Primary DC|2002-09-20|Active|5102|0,80|0,42|Advanced
5003|Northeast Distribution Center|New York|3003|3500000|Units|Primary DC|1998-11-10|Active|5103|0,90|0,48|Advanced
5004|Miami Fulfillment Center|Miami|3004|3000000|Units|Primary DC|2001-03-25|Active|5104|0,75|0,40|Standard
5005|Chicago Central Hub|Chicago|3005|4500000|Units|Primary DC|1995-08-05|Active|5105|0,82|0,43|Advanced
5006|Atlanta Regional Warehouse|Atlanta|3016|2800000|Units|Regional DC|2005-04-18|Active|5106|0,78|0,41|Standard
5007|Dallas Fulfillment Center|Dallas|3014|3200000|Units|Regional DC|2003-07-30|Active|5107|0,76|0,39|Standard
5008|San Francisco Logistics|San Francisco|3012|2500000|Units|Regional DC|2006-12-10|Active|5108|0,95|0,50|Advanced
5009|Seattle Distribution Hub|Seattle|3021|2200000|Units|Regional DC|2008-09-22|Active|5109|0,88|0,46|Standard
5010|Denver Cross-Dock Center|Denver|3022|1800000|Units|Cross-Dock|2010-05-15|Active|5110|0,72|0,38|Basic
5011|Phoenix Fulfillment|Phoenix|3023|2000000|Units|Regional DC|2009-11-08|Active|5111|0,70|0,36|Standard
5012|Orlando Distribution|Orlando|3011|2400000|Units|Regional DC|2004-02-28|Active|5112|0,77|0,40|Standard
5013|Philadelphia Warehouse|Philadelphia|3017|1900000|Units|Regional DC|2007-06-12|Active|5113|0,85|0,44|Standard
5014|Boston Logistics Center|Boston|3018|1600000|Units|Regional DC|2011-03-05|Active|5114|0,92|0,48|Standard
5015|Detroit Fulfillment Hub|Detroit|3019|1700000|Units|Regional DC|2012-08-20|Active|5115|0,84|0,42|Basic
5016|Columbus Distribution|Columbus|3020|1500000|Units|Regional DC|2013-04-14|Active|5116|0,79|0,41|Basic
5017|St, Louis Warehouse|St, Louis|3026|1400000|Units|Regional DC|2014-09-30|Active|5117|0,75|0,39|Basic
5018|Minneapolis Logistics|Minneapolis|3028|1600000|Units|Regional DC|2015-07-22|Active|5118|0,81|0,43|Standard
5019|Portland Fulfillment|Portland|3029|1300000|Units|Regional DC|2016-11-15|Active|5119|0,86|0,45|Basic
5020|Charlotte Distribution|Charlotte|3030|1800000|Units|Regional DC|2017-05-10|Active|5120|0,78|0,40|Standard
5021|Toronto Central Warehouse|Toronto|3006|3800000|Units|Primary DC|1999-04-12|Active|5121|0,83|0,44|Advanced
5022|Vancouver Logistics Hub|Vancouver|3007|2500000|Units|Regional DC|2003-10-08|Active|5122|0,87|0,46|Advanced
5023|Montreal Distribution|Montreal|3031|3000000|Units|Regional DC|2001-12-05|Active|5123|0,82|0,43|Standard
5024|Calgary Fulfillment Center|Calgary|3032|1800000|Units|Regional DC|2008-03-20|Active|5124|0,79|0,41|Standard
5025|Winnipeg Warehouse|Winnipeg|3033|1200000|Units|Regional DC|2010-08-15|Active|5125|0,76|0,39|Basic
5026|Edmonton Distribution|Edmonton|3032|1600000|Units|Regional DC|2012-06-25|Active|5126|0,77|0,40|Basic
5027|Ottawa Logistics|Ottawa|3006|1400000|Units|Regional DC|2014-09-18|Active|5127|0,84|0,44|Standard
5028|Halifax Warehouse|Halifax|3034|800000|Units|Regional DC|2016-11-30|Active|5128|0,88|0,46|Basic
5029|Mexico City Distribution Center|Mexico City|3008|3500000|Units|Primary DC|1997-08-22|Active|5129|0,65|0,35|Advanced
5030|Guadalajara Logistics Hub|Guadalajara|3036|2200000|Units|Regional DC|2002-05-14|Active|5130|0,62|0,33|Standard
5031|Monterrey Fulfillment|Monterrey|3037|2000000|Units|Regional DC|2005-11-30|Active|5131|0,63|0,34|Standard
5032|Tijuana Cross-Dock Center|Tijuana|3038|1500000|Units|Cross-Dock|2009-07-12|Active|5132|0,60|0,32|Basic
5033|Puebla Warehouse|Puebla|3039|1300000|Units|Regional DC|2011-04-25|Active|5133|0,61|0,33|Basic
5034|London Global Distribution Centre|London|3009|4500000|Units|Primary DC|1994-03-10|Active|5134|0,90|0,47|Advanced
5035|Manchester Regional Hub|Manchester|3044|2800000|Units|Regional DC|2000-09-05|Active|5135|0,85|0,45|Advanced
5036|Birmingham Fulfillment Center|Birmingham|3045|2200000|Units|Regional DC|2003-12-18|Active|5136|0,82|0,43|Standard
5037|Glasgow Distribution|Glasgow|3041|1800000|Units|Regional DC|2006-08-22|Active|5137|0,87|0,46|Standard
5038|Cardiff Warehouse|Cardiff|3042|1200000|Units|Regional DC|2009-05-14|Active|5138|0,84|0,44|Basic
