SupplierID,SupplierName,SupplierType,MaterialSupplied,PerformanceRating,Country,RegionID,ContractStart,ContractEnd,PaymentTerms,QualityScore,DeliveryReliability,RelationshipYears,PrimaryContact
7001,SugarCane Inc,Raw Material,Sugar,95,USA,3001,2010-06-15,2025-06-15,Net 60,96.5,97.8,14,John Sweeterman
7002,CornProducts Corp,Raw Material,High Fructose Corn Syrup,92,USA,3005,2012-03-22,2024-12-31,Net 45,94.2,95.6,12,Sarah Grainer
7003,BottleTech,Packaging,Plastic Bottles (PET),88,USA,3001,2015-08-10,2026-08-10,Net 30,90.8,93.4,9,Michael Container
7004,CanMaster,Packaging,Aluminum Cans,90,USA,3005,2008-11-05,2025-11-05,Net 60,93.7,96.1,16,Robert Aluminum
7005,FlavorEssence,Raw Material,Natural Flavors,94,Germany,3010,2005-04-30,2030-04-30,Net 90,97.2,98.5,19,Fragrance Schmidt
7006,AquaPure Solutions,Raw Material,Water Purification Systems,91,USA,3004,2018-02-14,2028-02-14,Net 30,94.8,96.3,6,David Filter
7007,ColorNature,Raw Material,Caramel Color,93,France,3051,2011-09-18,2026-09-18,Net 60,95.6,96.9,13,Chroma Dubois
7008,CitrusSource,Raw Material,Citrus Oils,96,Brazil,3181,2000-07-25,2025-07-25,Net 90,98.4,99.2,24,Orange Silva
7009,BioSweet,Raw Material,Stevia Extract,89,China,3121,2019-05-30,2029-05-30,Net 45,92.1,94.7,5,Li Wei
7010,BrewMasters,Raw Material,Coffee Beans,92,Colombia,3195,2014-12-10,2024-12-10,Net 60,94.5,96.8,10,Juan Coffee
7011,TeaLeaf Origin,Raw Material,Tea Leaves,94,India,3141,2002-08-22,2027-08-22,Net 90,96.7,97.9,22,Chai Patel
7012,FruitConcentrate,Raw Material,Fruit Concentrates,90,USA,3011,2016-04-05,2026-04-05,Net 30,93.3,95.4,8,Apple Johnson
7013,DairyPure,Raw Material,Milk Proteins,88,New Zealand,3157,2017-11-20,2027-11-20,Net 45,91.5,93.8,7,Milk White
7014,EnergyBlend,Raw Material,Taurine & Guarana,92,Germany,3010,2013-07-15,2025-07-15,Net 60,94.9,96.5,11,Energia Muller
7015,SaltMasters,Raw Material,Mineral Salts,87,Chile,3193,2020-03-18,2030-03-18,Net 30,90.2,92.7,4,Sal Delmar
7016,AcidBalance,Raw Material,Citric Acid,91,China,3122,2015-09-12,2025-09-12,Net 45,94.1,95.9,9,Acid Wang
7017,PreservaTech,Raw Material,Preservatives,85,USA,3003,2019-08-30,2029-08-30,Net 30,89.6,91.4,5,Preserve Smith
7018,VitaminBoost,Raw Material,Vitamins & Minerals,93,Switzerland,3069,2012-05-22,2027-05-22,Net 60,95.8,97.2,12,Vita Swiss
7019,CarbonPure,Raw Material,Carbon Dioxide,89,USA,3002,2018-11-08,2028-11-08,Net 30,92.3,94.5,6,Gas Richardson
