ChannelID|ChannelName|ChannelType|ChannelSegment|CommissionRate|MinimumOrder|DeliveryDays|TargetMargin
4001|Grocery Retail|Retail|Modern Trade|5,00|1000,00|2|40,00
4002|Convenience Stores|Retail|Traditional Trade|6,50|500,00|1|45,00
4003|Food Service|Restaurant|On-Premise|8,00|300,00|1|50,00
4004|Wholesale Clubs|Wholesale|Cash & Carry|4,00|2500,00|3|35,00
4005|Vending Machines|Vending|Direct to Consumer|12,00|100,00|7|60,00
4006|E-commerce|Online|Digital Commerce|7,00|200,00|2|48,00
4007|Pharmacies|Retail|Health & Wellness|5,50|400,00|2|42,00
4008|Hypermarkets|Retail|Modern Trade|4,50|2000,00|3|38,00
4009|Supermarkets|Retail|Modern Trade|5,00|1000,00|2|40,00
4010|Discount Stores|Retail|Value Retail|4,00|800,00|2|35,00
4011|Department Stores|Retail|General Merchandise|6,00|600,00|3|45,00
4012|Specialty Food Stores|Retail|Specialty Retail|7,50|300,00|2|50,00
4013|Health Food Stores|Retail|Health & Wellness|7,00|250,00|2|48,00
4014|Organic Markets|Retail|Health & Wellness|7,50|200,00|3|52,00
4015|Ethnic Grocery Stores|Retail|Traditional Trade|6,00|400,00|2|44,00
4016|Military Commissaries|Retail|Government|4,00|1500,00|4|30,00
4017|College Bookstores|Retail|Education|6,00|300,00|3|46,00
4018|Gas Station C-Stores|Retail|Convenience|6,50|400,00|1|45,00
4019|Truck Stop Stores|Retail|Travel Retail|6,00|500,00|2|44,00
4020|Airport Retail|Retail|Travel Retail|8,00|300,00|1|55,00
4021|Train Station Kiosks|Retail|Travel Retail|7,50|200,00|1|52,00
4022|Bus Terminal Stores|Retail|Travel Retail|7,00|200,00|1|50,00
4023|Hospital Gift Shops|Retail|Healthcare|6,50|150,00|1|48,00
4024|Hotel Gift Shops|Retail|Hospitality|7,00|200,00|1|50,00
4025|Resort Retail|Retail|Hospitality|8,00|300,00|2|55,00
4026|Cruise Ship Stores|Retail|Travel Retail|9,00|500,00|14|60,00
4027|Casino Retail|Retail|Entertainment|8,50|400,00|1|58,00
4028|Movie Theater Concessions|Retail|Entertainment|10,00|200,00|1|65,00
4029|Stadium Concessions|Retail|Entertainment|9,00|500,00|1|62,00
4030|Arena Food Courts|Retail|Entertainment|8,50|400,00|1|58,00
4031|Theme Park Retail|Retail|Entertainment|8,00|600,00|2|55,00
4032|Zoo & Aquarium Retail|Retail|Entertainment|7,50|300,00|2|52,00
4033|Museum Caf?s|Retail|Cultural|7,00|200,00|2|50,00
4034|Library Caf?s|Retail|Education|6,50|150,00|2|48,00
4035|Corporate Cafeterias|Food Service|Corporate Dining|7,00|400,00|1|48,00
4036|School Cafeterias|Food Service|Education|6,00|300,00|1|45,00
4037|University Dining Halls|Food Service|Education|6,50|500,00|1|47,00
4038|Hospital Cafeterias|Food Service|Healthcare|6,00|300,00|1|45,00
4039|Prison Commissaries|Retail|Correctional|5,00|1000,00|4|40,00
4040|Military Dining Facilities|Food Service|Government|5,50|800,00|3|42,00
4041|Fast Food Chains|Restaurant|Quick Service|8,50|500,00|1|58,00
4042|Casual Dining|Restaurant|Sit-Down Dining|8,00|400,00|1|55,00
4043|Fine Dining|Restaurant|Premium Dining|7,50|300,00|1|52,00
4044|Coffee Shops|Restaurant|Caf?|9,00|200,00|1|62,00
4045|Tea Houses|Restaurant|Caf?|8,50|150,00|1|58,00
4046|Ice Cream Parlors|Restaurant|Dessert|8,00|200,00|1|55,00
4047|Bakeries|Restaurant|Bakery Caf?|7,50|150,00|1|52,00
