CampaignID|CampaignName|CampaignType|TargetAudience|Budget|Status|StartDate|EndDate|RegionScope|ProductFocus|Brand|ROI_Target|Engagement_Target|Impression_Target
8001|Share a Coke|Personalization|Young Adults (18-25)|5000000,00|Active|2024-05-01|2024-12-31|Global|All Products|Coca-Cola|120|3,5|500000000
8002|Open Happiness|Brand Awareness|General Public|8000000,00|Completed|2023-01-01|2023-12-31|Global|Colas|Coca-Cola|110|2,8|800000000
8003|Taste the Feeling|Product Launch|Millennials (25-40)|6500000,00|Active|2024-03-15|2024-11-30|Global|All Products|Coca-Cola|125|4,2|650000000
8004|Summer Refresh|Seasonal Promotion|Families|3500000,00|Active|2024-06-01|2024-08-31|Northern Hemisphere|Soft Drinks|Coca-Cola|115|3,2|350000000
8005|Zero Sugar Launch|New Product Launch|Health Conscious|4500000,00|Planning|2024-09-01|2024-12-31|Global|Zero Sugar Products|Coca-Cola|130|3,8|450000000
8006|Real Magic|Brand Positioning|Young Adults (16-24)|4200000,00|Active|2024-04-01|2024-10-31|Global|All Products|Coca-Cola|118|4,5|420000000
8007|Sprite Limelight|Limited Edition|Teens & Young Adults|2800000,00|Active|2024-07-01|2024-09-30|Global|Sprite|Sprite|122|4,8|280000000
8008|Fanta Playground|Interactive Campaign|Families with Kids|3200000,00|Active|2024-06-15|2024-08-31|Europe & Asia|Fanta|Fanta|116|3,9|320000000
8009|Smartwater Hydration|Wellness Campaign|Health & Fitness Enthusiasts|3800000,00|Active|2024-01-01|2024-12-31|Global|Smartwater|Smartwater|128|3,1|380000000
8010|Minute Maid Morning Boost|Daypart Marketing|Busy Professionals|2900000,00|Active|2024-02-01|2024-11-30|North America|Minute Maid|Minute Maid|119|2,9|290000000
8011|POWERADE Fuel Up|Sports Sponsorship|Athletes & Sports Fans|5200000,00|Active|2024-03-01|2024-12-31|Global|POWERADE|POWERADE|135|3,4|520000000
8012|Dasani Pure Life|Sustainability Campaign|Eco-Conscious Consumers|3100000,00|Active|2024-04-22|2024-11-15|Global|Dasani|Dasani|121|2,7|310000000
8013|Costa Coffee Break|Moment Marketing|Office Workers & Students|2700000,00|Active|2024-01-15|2024-10-31|Europe & Asia|Costa Coffee|Costa|124|3,3|270000000
8014|Monster Unleashed|Energy Lifestyle|Gamers & Extreme Sports|4800000,00|Active|2024-03-01|2024-12-31|Global|Monster|Monster|140|4,9|480000000
8015|Simply Natural|Purity Campaign|Organic & Natural Consumers|3600000,00|Active|2024-05-01|2024-11-30|North America|Simply|Simply|126|3,0|360000000
8016|Gold Peak Southern Charm|Regional Marketing|Southern US Consumers|2200000,00|Active|2024-04-01|2024-10-31|Southern US|Gold Peak|Gold Peak|117|2,8|220000000
8017|Barq's Root Beer Revival|Nostalgia Marketing|Adults 35+|1900000,00|Active|2024-06-01|2024-09-30|North America|Barq's|Barq's|112|2,5|190000000
